ppt1,time1,gene1,ppt2,time2,gene2
R1,8.2,SMARCC1,R1,8.2,ZNF512
R1,8.2,SRPK1,R1,8.2,USPL1
R1,8.2,STIL,R1,8.2,TPM3
R1,8.2,TLK1,R1,8.2,SLC25A25
R1,8.2,TNKS,R1,8.2,INPP4B
R1,8.2,TNRC6C,R1,8.2,FAM168A
R1,8.2,TPM3,R1,8.2,DHX40
R1,8.2,TRA2B,R1,8.2,CBL
R1,8.2,TTBK2,R1,8.2,PHF2
R1,8.2,TTLL5,R1,8.2,MLLT3
R1,8.2,USPL1,R1,8.2,X
R1,8.2,VPS13B,R1,8.2,CBL
R1,8.2,WDR44,R1,8.2,X
R1,8.2,X,R1,8.2,OXCT1
R1,8.2,X,R1,8.2,TRA2B
R1,8.2,X,R1,8.2,PHF2
R1,8.2,X,R1,8.2,TNRC6C
R1,8.2,X,R1,8.2,TTBK2
R1,8.2,X,R1,8.2,NFATC3
R1,8.2,X,R1,8.2,MYO5A
R1,8.2,ZEB1,R1,8.2,HSF1
R1,8.2,ZNF512,R1,8.2,PHF2
R1,12.3,AKAP7,R1,12.3,X
R1,12.3,BACH2,R1,12.3,HMBOX1
R1,12.3,BACH2,R1,12.3,CRAMP1L
R1,12.3,C18orf25,R1,12.3,TBC1D13
R1,12.3,CCSAP,R1,12.3,NSMCE2
R1,12.3,CDK6,R1,12.3,NSMCE2
R1,12.3,CRAMP1L,R1,12.3,HSF5
R1,12.3,DNAH10,R1,12.3,TRIM2
R1,12.3,FBXW7,R1,12.3,AKAP7
R1,12.3,FMN2,R1,12.3,ZNF253
R1,12.3,FRG1B,R1,12.3,JAK1
R1,12.3,GCN1L1,R1,12.3,ST8SIA4
R1,12.3,GPBP1,R1,12.3,TSKS
R1,12.3,HMBOX1,R1,12.3,JAK1
R1,12.3,HNRNPUL1,R1,12.3,SPC25
R1,12.3,HSF5,R1,12.3,RALGPS2
R1,12.3,JAK1,R1,12.3,SPATA13
R1,12.3,JAK1,R1,12.3,SF3B2
R1,12.3,JAK1,R1,12.3,RALGPS2
R1,12.3,KCTD13,R1,12.3,LCOR
R1,12.3,KIAA0355,R1,12.3,X
R1,12.3,LCOR,R1,12.3,RALGPS2
R1,12.3,LMO7,R1,12.3,PPP2R5C
R1,12.3,MSANTD4,R1,12.3,SNX27
R1,12.3,NSD1,R1,12.3,USPL1
R1,12.3,NSMCE2,R1,12.3,X
R1,12.3,NSMCE2,R1,12.3,GPBP1
R1,12.3,OXCT1,R1,12.3,KCTD13
R1,12.3,PPP2R5C,R1,12.3,CCSAP
R1,12.3,QRICH1,R1,12.3,SPC25
R1,12.3,RAD54L2,R1,12.3,TICAM1
R1,12.3,RALGPS2,R1,12.3,C18orf25
R1,12.3,RALGPS2,R1,12.3,CDK6
R1,12.3,RALGPS2,R1,12.3,BACH2
R1,12.3,RALGPS2,R1,12.3,XPO6
R1,12.3,SF3B2,R1,12.3,HNRNPUL1
R1,12.3,SNX27,R1,12.3,ZNF791
R1,12.3,SPATA13,R1,12.3,LMO7
R1,12.3,SPC25,R1,12.3,QRICH1
R1,12.3,SPC25,R1,12.3,SPC25
R1,12.3,SPC25,R1,12.3,GCN1L1
R1,12.3,SPC25,R1,12.3,X
R1,12.3,ST8SIA4,R1,12.3,ULK4
R1,12.3,TBC1D13,R1,12.3,FBXW7
R1,12.3,TIAM1,R1,12.3,UBE2G1
R1,12.3,TICAM1,R1,12.3,FRG1B
R1,12.3,TRIM2,R1,12.3,RALGPS2
R1,12.3,TSKS,R1,12.3,RAD54L2
R1,12.3,UBE2G1,R1,12.3,SPC25
R1,12.3,ULK4,R1,12.3,JAK1
R1,12.3,USPL1,R1,12.3,NSD1
R1,12.3,X,R1,12.3,ZC3H18
R1,12.3,X,R1,12.3,DNAH10
R1,12.3,X,R1,12.3,MSANTD4
R1,12.3,X,R1,12.3,KIAA0355
R1,12.3,X,R1,12.3,ZNF652
R1,12.3,XPO6,R1,12.3,TIAM1
R1,12.3,ZC3H18,R1,12.3,FMN2
R1,12.3,ZNF253,R1,12.3,BACH2
R1,12.3,ZNF652,R1,12.3,OXCT1
R1,12.3,ZNF791,R1,12.3,X
